id,probe,date,value
,CC4-HP01,2021-10-18 23:30:46,5.54
,CC5-TP01,2021-10-15 19:18:35,5.45
,CC3-TP01,2021-10-12 18:00:25,4.73
,CC6-TP01,2021-10-19 11:06:56,5.94
,CC2-HP01,2021-10-14 16:07:37,4.91
,CC2-TP01,2021-10-19 16:49:42,4.92
,CC3-HP01,2021-10-16 16:05:29,5.52
,CC4-HP01,2021-10-12 18:11:01,5.78
,CC5-HP01,2021-10-13 12:32:59,4.61
,CC5-TP01,2021-10-17 21:14:25,4.56
,CC2-HP01,2021-10-14 13:35:34,5.4
,CC3-HP01,2021-10-12 08:45:00,4.04
,CC7-TP01,2021-10-17 22:53:22,5.72
,CC2-HP01,2021-10-16 10:59:12,5.97
,CC5-TP01,2021-10-18 15:26:20,4.29
,CC7-TP01,2021-10-17 18:24:14,4.22
,CC3-HP01,2021-10-19 07:46:25,5.87
,CC-HP01,2021-10-12 18:09:27,4.57
,CC6-TP01,2021-10-14 09:06:40,5.93
,CC-TP01,2021-10-15 14:30:35,5.03
,CC4-HP01,2021-10-18 12:32:36,5.5
,CC5-TP01,2021-10-17 22:28:59,4.32
,CC3-HP01,2021-10-15 13:57:13,5.18
,CC3-HP01,2021-10-17 14:11:07,4.34
,CC2-TP01,2021-10-12 12:24:59,4.11
,CC5-TP01,2021-10-15 18:49:43,4.29
,CC4-HP01,2021-10-14 02:03:21,5.5
,CC5-TP01,2021-10-15 21:32:45,4.56
,CC6-TP01,2021-10-17 21:55:25,4.24
,CC4-HP01,2021-10-16 16:43:40,5.01
,CC3-HP01,2021-10-12 05:50:10,5.79
,CC5-TP01,2021-10-16 15:10:36,5.19
,CC-HP01,2021-10-14 11:49:24,5.64
,CC5-TP01,2021-10-16 11:28:19,5.28
,CC4-HP01,2021-10-16 02:43:45,4.93
,CC6-TP01,2021-10-12 04:57:52,4.7
,CC7-HP01,2021-10-13 02:50:11,4.7
,CC-HP01,2021-10-18 05:11:26,4.48
,CC5-HP01,2021-10-16 05:35:41,5.19
,CC6-TP01,2021-10-13 04:36:52,5.8
,CC5-HP01,2021-10-12 17:54:08,5.88
,CC-TP01,2021-10-16 18:31:07,4.26
,CC2-HP01,2021-10-12 02:16:53,4.42
,CC7-TP01,2021-10-14 13:44:59,5.13
,CC3-HP01,2021-10-15 18:20:27,4.52
,CC3-HP01,2021-10-16 11:33:12,4.45
,CC-TP01,2021-10-15 06:46:30,5.86
,CC6-TP01,2021-10-17 17:39:28,4.66
,CC3-HP01,2021-10-16 03:13:44,4.62
,CC2-TP01,2021-10-18 22:34:09,5.28
,CC4-HP01,2021-10-13 20:59:47,5.34
,CC-TP01,2021-10-12 21:57:27,4.12
,CC3-TP01,2021-10-17 01:40:04,5.8
,CC6-TP01,2021-10-13 13:34:20,5.75
,CC2-HP01,2021-10-18 20:21:45,5.74
,CC3-HP01,2021-10-15 15:45:03,5.37
,CC2-TP01,2021-10-14 12:01:38,4.21
,CC-TP01,2021-10-18 18:54:22,5.15
,CC2-HP01,2021-10-18 05:04:12,4.87
,CC5-TP01,2021-10-19 04:45:54,4.68
,CC5-TP01,2021-10-14 20:24:58,4.65
,CC2-TP01,2021-10-15 11:45:02,4.98
,CC2-HP01,2021-10-17 16:57:40,4.57
,CC5-HP01,2021-10-12 11:02:44,5.68
,CC5-TP01,2021-10-17 01:13:02,4.86
,CC5-TP01,2021-10-12 04:10:08,5.57
,CC3-HP01,2021-10-18 16:27:41,4.73
,CC6-HP01,2021-10-19 06:49:36,4.18
,CC-TP01,2021-10-14 00:42:23,4.92
,CC5-HP01,2021-10-16 04:18:36,4.43
,CC6-HP01,2021-10-18 19:13:18,5.89
,CC6-HP01,2021-10-19 20:18:06,5.89
,CC2-HP01,2021-10-19 18:41:42,5.31
,CC6-HP01,2021-10-15 21:05:34,4.79
